                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.77572,                0.37971,                0.82954,                0.79491,                0.56214,                0.64226,                0.44269,                 0.7404,                0.34857,                0.81116,              0.0052084,              0.0052084,              0.0052084
                    123,                 0.7758,                0.38198,                0.83086,                0.79375,                 0.5617,                0.64192,                0.44311,                0.73991,                0.34815,                0.81113,              0.0051688,              0.0051688,              0.0051688
                    124,                0.77122,                0.37992,                0.83055,                0.79473,                0.56168,                0.64229,                0.44317,                0.73952,                0.34801,                0.81111,              0.0051292,              0.0051292,              0.0051292
                    125,                0.77283,                0.37876,                0.82843,                0.79502,                0.56171,                0.64227,                0.44352,                0.73902,                0.34799,                0.81103,              0.0050896,              0.0050896,              0.0050896
                    126,                0.77028,                0.37773,                0.82944,                0.79465,                0.56167,                0.64213,                0.44345,                0.73863,                0.34749,                0.81098,                0.00505,                0.00505,                0.00505
                    127,                0.77016,                0.37794,                 0.8283,                0.79551,                0.56186,                0.64228,                0.44374,                0.73817,                0.34756,                0.81092,              0.0050104,              0.0050104,              0.0050104
                    128,                0.77067,                0.37898,                 0.8284,                0.79495,                0.56185,                0.64225,                0.44375,                 0.7381,                0.34732,                0.81088,              0.0049708,              0.0049708,              0.0049708
                    129,                0.76823,                0.37635,                0.82829,                0.79558,                0.56168,                0.64233,                0.44389,                 0.7378,                0.34714,                0.81083,              0.0049312,              0.0049312,              0.0049312
                    130,                0.76808,                0.37651,                0.82982,                0.79574,                 0.5609,                0.64247,                0.44423,                0.73746,                0.34702,                0.81079,              0.0048916,              0.0048916,              0.0048916
                    131,                0.76815,                0.37626,                0.82863,                 0.7958,                0.56161,                0.64261,                0.44434,                0.73713,                0.34713,                0.81073,               0.004852,               0.004852,               0.004852
                    132,                0.76519,                0.37451,                0.82779,                0.79575,                0.56174,                0.64256,                0.44449,                0.73706,                0.34713,                0.81073,              0.0048124,              0.0048124,              0.0048124
                    133,                0.76478,                0.37461,                0.82859,                0.79483,                0.56142,                 0.6425,                0.44452,                0.73693,                0.34688,                 0.8107,              0.0047728,              0.0047728,              0.0047728
                    134,                0.76629,                0.37493,                0.82899,                0.79479,                0.56103,                 0.6425,                0.44443,                0.73692,                0.34678,                0.81067,              0.0047332,              0.0047332,              0.0047332
                    135,                0.76136,                 0.3728,                0.82608,                0.79518,                0.56102,                0.64256,                0.44457,                0.73685,                0.34669,                0.81067,              0.0046936,              0.0046936,              0.0046936
                    136,                 0.7613,                0.37405,                0.82774,                0.79491,                 0.5615,                0.64255,                0.44458,                0.73679,                0.34669,                0.81061,               0.004654,               0.004654,               0.004654
                    137,                0.75713,                 0.3719,                0.82723,                0.79515,                0.56098,                0.64255,                0.44443,                0.73664,                0.34677,                0.81059,              0.0046144,              0.0046144,              0.0046144
                    138,                 0.7581,                0.37277,                0.82689,                0.79538,                0.56123,                0.64292,                0.44472,                 0.7366,                0.34642,                0.81058,              0.0045748,              0.0045748,              0.0045748
                    139,                0.75987,                 0.3732,                0.82771,                0.79702,                0.56084,                0.64286,                0.44499,                0.73634,                0.34661,                0.81055,              0.0045352,              0.0045352,              0.0045352
                    140,                0.75749,                0.37077,                0.82638,                0.79651,                0.56081,                0.64258,                0.44513,                0.73609,                 0.3465,                0.81048,              0.0044956,              0.0044956,              0.0044956
                    141,                0.75386,                0.36941,                0.82742,                0.79454,                0.56176,                0.64289,                0.44497,                0.73587,                0.34634,                0.81042,               0.004456,               0.004456,               0.004456
                    142,                0.75567,                0.36984,                0.82643,                0.79624,                0.56131,                0.64308,                0.44526,                0.73561,                0.34624,                0.81039,              0.0044164,              0.0044164,              0.0044164
                    143,                0.75197,                0.36927,                 0.8251,                0.79671,                0.56179,                0.64381,                0.44546,                0.73536,                0.34617,                0.81037,              0.0043768,              0.0043768,              0.0043768
                    144,                0.75294,                0.36912,                0.82686,                0.79633,                0.56125,                0.64339,                0.44564,                0.73514,                0.34624,                0.81034,              0.0043372,              0.0043372,              0.0043372
                    145,                0.74766,                0.36633,                0.82568,                0.79575,                0.56159,                0.64385,                0.44602,                0.73471,                0.34607,                0.81031,              0.0042976,              0.0042976,              0.0042976
                    146,                0.75361,                0.36953,                0.82583,                0.79556,                0.56148,                 0.6439,                0.44602,                0.73475,                0.34619,                 0.8103,               0.004258,               0.004258,               0.004258
                    147,                0.75049,                0.36551,                0.82555,                0.79528,                0.56067,                0.64392,                0.44618,                0.73441,                0.34622,                0.81026,              0.0042184,              0.0042184,              0.0042184
                    148,                0.74891,                0.36653,                0.82562,                0.79521,                0.56058,                0.64396,                0.44648,                0.73422,                0.34617,                0.81023,              0.0041788,              0.0041788,              0.0041788
                    149,                0.74985,                0.36652,                0.82542,                0.79589,                0.56058,                0.64439,                0.44639,                0.73406,                0.34615,                0.81017,              0.0041392,              0.0041392,              0.0041392
                    150,                0.75185,                0.36594,                0.82508,                0.79478,                0.56103,                0.64432,                0.44653,                0.73411,                0.34634,                0.81018,              0.0040996,              0.0040996,              0.0040996
                    151,                0.74552,                0.36428,                0.82391,                0.79546,                0.56064,                0.64421,                0.44658,                0.73374,                0.34645,                0.81016,                0.00406,                0.00406,                0.00406
